case_id,image_width,image_height,mpp_x,mpp_y,patch_min_x_pixel,patch_min_y_pixel,patch_size,patch_polygon_area,percent_nuclear_material,tumorFlag,grayscale_patch_mean,grayscale_patch_std,hematoxylin_patch_mean,hematoxylin_patch_std,grayscale_segment_mean,grayscale_segment_std,hematoxylin_segment_mean,hematoxylin_segment_std,flatness_segment_mean,flatness_segment_std,perimeter_segment_mean,perimeter_segment_std,circularity_segment_mean,circularity_segment_std,r_GradientMean_segment_mean,r_GradientMean_segment_std,b_GradientMean_segment_mean,b_GradientMean_segment_std,r_cytoIntensityMean_segment_mean,r_cytoIntensityMean_segment_std,b_cytoIntensityMean_segment_mean,b_cytoIntensityMean_segment_std,elongation_segment_mean,elongation_segment_std,datetime,patch_index,tile_minx,tile_miny,user
PC_058_0_1,162239,86955,0.2464,0.2464,29184,59904,512,5474.75,2.088451385,tumor,177.1737595,31.80194488,18.05117035,6.433889499,n/a,n/a,n/a,n/a,1.715069,0.868989895,60.74259425,55.84096979,0.7933706,0.217600655,14.15497125,4.293163594,10.39108775,2.748076997,184.46895,12.49030873,155.186125,14.27675997,1.715069,0.868989895,2018-09-17T16:57:13.461Z,1,28672,59392,dr.rajarsi.gupta
PC_058_0_1,162239,86955,0.2464,0.2464,29184,60416,512,9371.25,3.574848175,tumor,178.2642441,33.41903341,18.6385994,7.075952804,n/a,n/a,n/a,n/a,1.898275,0.809603485,65.36546053,33.44521559,0.749667421,0.159316692,15.71358053,3.764880605,10.853935,2.427601413,192.3559737,15.30807106,160.3451579,15.69648293,1.898275,0.809603485,2018-09-17T16:57:16.966Z,2,28672,59392,dr.rajarsi.gupta
PC_058_0_1,162239,86955,0.2464,0.2464,29184,60928,512,18003,6.867599487,tumor,169.8531876,39.29896445,23.55334473,8.756410709,n/a,n/a,n/a,n/a,1.486417297,0.390285742,60.54523378,22.3595394,0.826240378,0.089000333,16.3569577,3.412712872,11.02807649,2.707573062,198.5568243,12.57681346,161.0154865,14.94801177,1.486417297,0.390285742,2018-09-17T16:57:20.646Z,3,28672,59392,dr.rajarsi.gupta
PC_058_0_1,162239,86955,0.2464,0.2464,29184,61440,512,0,0,tumor,165.1371231,39.23890563,24.45734024,9.596481468,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,2018-09-17T16:57:23.972Z,4,28672,59392,dr.rajarsi.gupta
PC_058_0_1,162239,86955,0.2464,0.2464,29184,61952,512,27240,10.39123535,tumor,169.0561905,39.95362265,24.1531601,9.9220489,n/a,n/a,n/a,n/a,1.592677209,0.641149289,73.59515779,42.78346734,0.79213243,0.147053229,16.07120616,4.381690124,11.20191953,2.753965255,201.4235116,14.70327996,167.5721163,13.46055336,1.592677209,0.641149289,2018-09-17T16:22:57.202Z,1,28672,61440,dr.rajarsi.gupta
PC_058_0_1,162239,86955,0.2464,0.2464,29184,62464,512,33331,12.71476746,tumor,165.2594757,42.03631858,23.97548676,10.56367739,n/a,n/a,n/a,n/a,1.533725755,0.606429267,72.82539745,35.07898044,0.805937811,0.139411692,16.3234867,3.607409174,10.97673726,2.697577679,202.1566415,13.68339734,165.0849528,15.37540834,1.533725755,0.606429267,2018-09-17T16:23:01.924Z,2,28672,61440,dr.rajarsi.gupta
PC_058_0_1,162239,86955,0.2464,0.2464,29184,62976,512,16164.5,6.166267395,tumor,171.3588371,36.02905575,23.28762817,8.467889346,n/a,n/a,n/a,n/a,1.540766286,0.86123543,56.699435,28.85630705,0.830680543,0.116670516,14.659201,4.669019401,10.08277271,2.775162284,197.8891571,16.14338404,162.8051286,15.34376023,1.540766286,0.86123543,2018-09-17T16:23:06.476Z,3,28672,61440,dr.rajarsi.gupta
PC_058_0_1,162239,86955,0.2464,0.2464,29184,63488,512,0,0,tumor,168.2457886,33.18895684,22.42671585,8.392486568,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,2018-09-17T16:23:10.686Z,4,28672,61440,dr.rajarsi.gupta
PC_058_0_1,162239,86955,0.2464,0.2464,29184,64000,512,19414.75,7.406139374,tumor,167.3436546,31.4788412,23.87543869,8.120646017,n/a,n/a,n/a,n/a,1.741861525,0.853573422,72.77691525,30.69605896,0.787900542,0.126942395,15.42462186,4.08474153,9.981765424,2.49152667,201.8974576,9.98181665,163.413661,10.20732751,1.741861525,0.853573422,2018-09-17T17:00:05.760Z,1,28672,63488,dr.rajarsi.gupta
PC_058_0_1,162239,86955,0.2464,0.2464,29184,64512,512,12711.5,4.849052429,tumor,171.7253456,28.19615119,19.50045776,7.043315913,n/a,n/a,n/a,n/a,1.800613256,0.876917955,68.88982326,28.64845589,0.790722698,0.13630292,14.52620581,3.819462046,9.475932558,2.218222929,203.0046047,11.62445963,163.5375581,9.900334581,1.800613256,0.876917955,2018-09-17T17:00:08.991Z,2,28672,63488,dr.rajarsi.gupta
PC_058_0_1,162239,86955,0.2464,0.2464,29184,65024,512,6181,2.35786438,tumor,178.0809212,28.45202523,21.93239975,6.015156693,n/a,n/a,n/a,n/a,2.106918696,1.607762959,67.8894087,45.84517101,0.768528174,0.204201089,14.53259304,4.012995573,9.562132609,2.925355519,202.2357391,14.2329982,162.3253478,13.91062069,2.106918696,1.607762959,2018-09-17T17:00:12.119Z,3,28672,63488,dr.rajarsi.gupta
PC_058_0_1,162239,86955,0.2464,0.2464,29184,65536,512,0,0,tumor,181.4556999,29.61304445,17.94852829,6.582023279,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,2018-09-17T17:00:15.137Z,4,28672,63488,dr.rajarsi.gupta
PC_058_0_1,162239,86955,0.2464,0.2464,29184,66048,512,4480.75,1.709270477,tumor,184.364193,24.88864491,20.55392456,5.093284809,n/a,n/a,n/a,n/a,1.567608333,0.490266779,61.83559444,23.48939847,0.829033444,0.083151267,12.87514611,3.073208193,9.348810556,2.01154873,201.9602778,12.67654443,170.1976111,11.60149664,1.567608333,0.490266779,2018-09-17T16:16:09.498Z,1,28672,65536,dr.rajarsi.gupta
PC_058_0_1,162239,86955,0.2464,0.2464,29184,66560,512,11445.75,4.366207123,tumor,191.9015579,31.74237627,17.93961334,6.530879713,n/a,n/a,n/a,n/a,1.8500625,0.973445187,68.01748,28.64204679,0.780708875,0.146188442,15.8886145,4.507663181,10.82099475,2.80225908,210.621525,13.01422964,181.963625,13.9967928,1.8500625,0.973445187,2018-09-17T16:16:11.760Z,2,28672,65536,dr.rajarsi.gupta
PC_058_0_1,162239,86955,0.2464,0.2464,29184,67072,512,5870.75,2.239513397,tumor,199.6600723,29.77361194,19.88234711,5.584141617,n/a,n/a,n/a,n/a,1.9511108,1.008088982,60.25448,25.52698199,0.77472952,0.147618271,13.9070548,3.943070859,9.584156,2.276913439,210.24496,12.67828318,182.35312,12.20906376,1.9511108,1.008088982,2018-09-17T16:16:13.957Z,3,28672,65536,dr.rajarsi.gupta
PC_058_0_1,162239,86955,0.2464,0.2464,29184,67584,512,0,0,tumor,208.9276237,27.17139737,12.73468018,5.006378102,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,2018-09-17T16:16:16.039Z,4,28672,65536,dr.rajarsi.gupta
